"invoice_id","branch","city","customer_type","gender","product_line","unit_price","quantity","tax5","total","date","time","payment","cogs","gross_margin_percentage","gross_income","rating","time_of_day","day_of_week","month_name"
"636-48-8204","A","Yangon","Normal","Male","Electronic accessories","34.56",5,"8.64","181.44","2019-02-17","11:15:00","Ewallet","172.80","4.76","8.64","9.9","Morning","Sunday   ","February "
"347-34-2234","B","Mandalay","Member","Female","Sports and travel","55.07",9,"24.78","520.41","2019-02-03","13:40:00","Ewallet","495.63","4.76","24.78","10.0","Afternoon","Sunday   ","February "
"109-28-2512","B","Mandalay","Member","Female","Fashion accessories","97.61",6,"29.28","614.94","2019-01-07","15:01:00","Ewallet","585.66","4.76","29.28","9.9","Afternoon","Monday   ","January  "
"287-21-9091","A","Yangon","Normal","Male","Home and lifestyle","74.67",9,"33.60","705.63","2019-01-22","10:55:00","Ewallet","672.03","4.76","33.60","9.4","Morning","Tuesday  ","January  "
"225-32-0908","C","Naypyitaw","Normal","Female","Sports and travel","44.86",10,"22.43","471.03","2019-01-26","19:54:00","Ewallet","448.60","4.76","22.43","8.2","Evening","Saturday ","January  "
"865-92-6136","A","Yangon","Normal","Male","Food and beverages","52.75",3,"7.91","166.16","2019-03-23","10:16:00","Ewallet","158.25","4.76","7.91","9.3","Morning","Saturday ","March    "
"663-86-9076","C","Naypyitaw","Member","Female","Food and beverages","68.54",8,"27.42","575.74","2019-01-08","15:57:00","Ewallet","548.32","4.76","27.42","8.5","Afternoon","Tuesday  ","January  "
"575-30-8091","A","Yangon","Normal","Male","Sports and travel","72.50",8,"29.00","609.00","2019-03-16","19:25:00","Ewallet","580.00","4.76","29.00","9.2","Evening","Saturday ","March    "
"685-64-1609","A","Yangon","Member","Female","Fashion accessories","30.14",10,"15.07","316.47","2019-02-10","12:28:00","Ewallet","301.40","4.76","15.07","9.2","Afternoon","Sunday   ","February "
"214-17-6927","C","Naypyitaw","Normal","Female","Food and beverages","16.48",6,"4.94","103.82","2019-02-07","18:23:00","Ewallet","98.88","4.76","4.94","9.9","Evening","Thursday ","February "
"307-85-2293","B","Mandalay","Normal","Male","Home and lifestyle","50.28",5,"12.57","263.97","2019-03-07","13:58:00","Ewallet","251.40","4.76","12.57","9.7","Afternoon","Thursday ","March    "
"423-57-2993","B","Mandalay","Normal","Male","Sports and travel","93.39",6,"28.02","588.36","2019-03-27","19:18:00","Ewallet","560.34","4.76","28.02","10.0","Evening","Wednesday","March    "
"414-12-7047","B","Mandalay","Normal","Male","Food and beverages","19.79",8,"7.92","166.24","2019-01-18","12:04:00","Ewallet","158.32","4.76","7.92","8.7","Afternoon","Friday   ","January  "
"827-26-2100","A","Yangon","Member","Male","Home and lifestyle","33.84",9,"15.23","319.79","2019-03-21","16:21:00","Ewallet","304.56","4.76","15.23","8.8","Evening","Thursday ","March    "
"342-65-4817","C","Naypyitaw","Member","Male","Health and beauty","86.80",3,"13.02","273.42","2019-01-28","16:47:00","Ewallet","260.40","4.76","13.02","9.9","Evening","Monday   ","January  "
"400-60-7251","A","Yangon","Normal","Male","Home and lifestyle","74.07",1,"3.70","77.77","2019-02-10","12:50:00","Ewallet","74.07","4.76","3.70","9.9","Afternoon","Sunday   ","February "
"875-46-5808","B","Mandalay","Member","Male","Health and beauty","25.90",10,"12.95","271.95","2019-02-06","14:51:00","Ewallet","259.00","4.76","12.95","8.7","Afternoon","Wednesday","February "
"549-03-9315","B","Mandalay","Normal","Male","Fashion accessories","94.87",8,"37.95","796.91","2019-02-12","12:58:00","Ewallet","758.96","4.76","37.95","8.7","Afternoon","Tuesday  ","February "
