"invoice_id","branch","city","customer_type","gender","product_line","unit_price","quantity","tax5","total","date","time","payment","cogs","gross_margin_percentage","gross_income","rating","time_of_day","day_of_week","month_name"
"743-04-1105","B","Mandalay","Member","Male","Health and beauty","97.22",9,"43.75","918.73","2019-03-30","14:43:00","Ewallet","874.98","4.76","43.75","6.0","Afternoon","Saturday ","March    "
"505-02-0892","B","Mandalay","Member","Male","Health and beauty","42.57",8,"17.03","357.59","2019-02-25","14:12:00","Ewallet","340.56","4.76","17.03","5.6","Afternoon","Monday   ","February "
"342-65-4817","C","Naypyitaw","Member","Male","Health and beauty","86.80",3,"13.02","273.42","2019-01-28","16:47:00","Ewallet","260.40","4.76","13.02","9.9","Evening","Monday   ","January  "
"875-46-5808","B","Mandalay","Member","Male","Health and beauty","25.90",10,"12.95","271.95","2019-02-06","14:51:00","Ewallet","259.00","4.76","12.95","8.7","Afternoon","Wednesday","February "
"836-82-5858","B","Mandalay","Member","Male","Health and beauty","69.37",9,"31.22","655.55","2019-01-26","19:14:00","Ewallet","624.33","4.76","31.22","4.0","Evening","Saturday ","January  "
"157-13-5295","A","Yangon","Member","Male","Health and beauty","51.94",10,"25.97","545.37","2019-03-09","18:24:00","Ewallet","519.40","4.76","25.97","6.5","Evening","Saturday ","March    "
"667-92-0055","A","Yangon","Member","Male","Health and beauty","99.83",6,"29.95","628.93","2019-03-04","15:02:00","Ewallet","598.98","4.76","29.95","8.5","Afternoon","Monday   ","March    "
"787-15-1757","C","Naypyitaw","Member","Male","Health and beauty","44.07",4,"8.81","185.09","2019-02-18","16:28:00","Ewallet","176.28","4.76","8.81","8.4","Evening","Monday   ","February "
"433-75-6987","B","Mandalay","Member","Female","Health and beauty","55.97",7,"19.59","411.38","2019-03-05","19:06:00","Ewallet","391.79","4.76","19.59","8.9","Evening","Tuesday  ","March    "
"186-09-3669","C","Naypyitaw","Member","Female","Health and beauty","81.51",1,"4.08","85.59","2019-01-22","10:57:00","Ewallet","81.51","4.76","4.08","9.2","Morning","Tuesday  ","January  "
"608-04-3797","B","Mandalay","Member","Female","Health and beauty","25.32",8,"10.13","212.69","2019-03-05","20:24:00","Ewallet","202.56","4.76","10.13","8.7","Evening","Tuesday  ","March    "
"425-85-2085","B","Mandalay","Member","Male","Health and beauty","54.86",5,"13.72","288.02","2019-03-29","16:48:00","Ewallet","274.30","4.76","13.72","9.8","Evening","Friday   ","March    "
"408-66-6712","C","Naypyitaw","Member","Female","Health and beauty","47.71",6,"14.31","300.57","2019-02-16","14:19:00","Ewallet","286.26","4.76","14.31","4.4","Afternoon","Saturday ","February "
"587-73-4862","A","Yangon","Member","Female","Health and beauty","10.69",5,"2.67","56.12","2019-03-26","11:07:00","Ewallet","53.45","4.76","2.67","7.6","Morning","Tuesday  ","March    "
"516-77-6464","C","Naypyitaw","Member","Female","Health and beauty","10.16",5,"2.54","53.34","2019-02-24","13:08:00","Ewallet","50.80","4.76","2.54","4.1","Afternoon","Sunday   ","February "
"528-14-9470","A","Yangon","Member","Male","Health and beauty","91.30",1,"4.57","95.87","2019-02-14","14:42:00","Ewallet","91.30","4.76","4.57","9.2","Afternoon","Thursday ","February "
"160-22-2687","A","Yangon","Member","Female","Health and beauty","95.95",5,"23.99","503.74","2019-01-23","14:21:00","Ewallet","479.75","4.76","23.99","8.8","Afternoon","Wednesday","January  "
"176-78-1170","C","Naypyitaw","Member","Male","Health and beauty","33.81",3,"5.07","106.50","2019-01-26","15:11:00","Ewallet","101.43","4.76","5.07","7.3","Afternoon","Saturday ","January  "
"101-81-4070","C","Naypyitaw","Member","Female","Health and beauty","62.82",2,"6.28","131.92","2019-01-17","12:36:00","Ewallet","125.64","4.76","6.28","4.9","Afternoon","Thursday ","January  "
"750-67-8428","A","Yangon","Member","Female","Health and beauty","74.69",7,"26.14","548.97","2019-01-05","13:08:00","Ewallet","522.83","4.76","26.14","9.1","Afternoon","Saturday ","January  "
"123-19-1176","A","Yangon","Member","Male","Health and beauty","58.22",8,"23.29","489.05","2019-01-27","20:33:00","Ewallet","465.76","4.76","23.29","8.4","Evening","Sunday   ","January  "
"503-21-4385","B","Mandalay","Member","Male","Health and beauty","39.91",3,"5.99","125.72","2019-02-21","12:40:00","Ewallet","119.73","4.76","5.99","9.3","Afternoon","Thursday ","February "
